screen_resolution,operating_system,device,sessions,engagement_rate,avg_session_sec
"412x732","(not set)","desktop",1009,0.771,0.0
"393x851","Android","mobile",917,0.974,0.0
"1280x1200","Windows","desktop",399,0.734,0.5
"1512x982","Linux","desktop",52,1.000,28.9
"1200x1800","Android","mobile",18,1.000,6.2
"1280x1024","Linux","desktop",15,0.000,0.0
"1600x1200","Android","mobile",15,1.000,3.5
"360x640","Android","mobile",15,0.000,0.0
"800x600","Linux","desktop",15,0.533,6.2
"800x600","Macintosh","desktop",12,0.250,0.3
"1920x1080","Windows","desktop",8,0.750,21.2
"384x832","Android","mobile",7,1.000,324.4
"800x600","Android","mobile",7,0.286,8.4
"800x600","(not set)","desktop",6,0.000,0.0
"1280x900","Linux","desktop",4,1.000,880.2
"1280x900","Macintosh","desktop",4,1.000,1374.8
"1280x900","Windows","desktop",4,1.000,1643.7
"1280x960","Macintosh","desktop",4,1.000,2.7
"1920x890","Linux","desktop",4,1.000,0.4
"1800x1125","Macintosh","desktop",3,1.000,0.0
"1800x1125","Windows","desktop",3,1.000,0.0
"800x600","Windows","desktop",3,1.000,0.0
"1280x1280","Linux","desktop",2,1.000,18.6
"1512x982","Macintosh","desktop",2,1.000,471.4
"1920x1080","Macintosh","desktop",2,0.000,0.0
"393x852","iOS","mobile",2,0.000,0.0
"440x956","iOS","mobile",2,1.000,421.1
"1024x1024","Linux","desktop",1,0.000,0.0
"1024x1024","Windows","desktop",1,1.000,0.0
"1440x900","Macintosh","desktop",1,1.000,30.4
"1470x956","Macintosh","desktop",1,1.000,11.0
"1500x1000","Windows","desktop",1,1.000,0.0
"1536x864","Windows","desktop",1,1.000,135.0
"1600x1600","Windows","desktop",1,1.000,0.4
"1600x900","Macintosh","desktop",1,1.000,1411.8
"2560x1440","Macintosh","desktop",1,1.000,59.9
"360x760","Android","mobile",1,1.000,0.0
"385x811","Android","mobile",1,1.000,0.0
"390x664","iOS","mobile",1,1.000,0.0
"428x926","iOS","mobile",1,1.000,0.0
"430x739","iOS","mobile",1,1.000,0.0
"468x1014","Android","mobile",1,1.000,969.5
"600x960","Android","mobile",1,1.000,0.0
"750x832","Android","tablet",1,1.000,57.1
