device,country,sessions,bounce_rate
"desktop","South Korea",7479,0.137
"mobile","South Korea",6386,0.159
"tablet","South Korea",255,0.149
"desktop","China",129,0.597
"mobile","United States",84,0.143
"desktop","United States",82,0.146
"desktop","Japan",58,0.121
"mobile","Japan",50,0.140
"desktop","Canada",28,0.107
"mobile","Canada",20,0.100
"desktop","Singapore",17,0.176
"mobile","Australia",13,0.154
"mobile","Thailand",11,0.182
"mobile","Vietnam",11,0.091
"mobile","China",10,0.400
"desktop","Australia",9,0.333
"desktop","Hong Kong",9,0.444
"desktop","New Zealand",9,0.444
"mobile","New Zealand",7,0.143
"desktop","France",6,0.000
"desktop","Spain",6,0.000
"desktop","Brazil",5,0.000
"desktop","Philippines",5,0.200
"desktop","Thailand",5,0.000
"mobile","Indonesia",5,0.400
"desktop","India",4,0.000
"desktop","Malaysia",4,0.000
"desktop","Namibia",4,0.000
"desktop","Russia",4,0.000
"desktop","Taiwan",4,0.250
"desktop","United Kingdom",4,0.000
"mobile","Hong Kong",4,0.250
"tablet","United States",4,0.500
"desktop","(not set)",3,0.000
"desktop","Indonesia",3,0.000
"desktop","Vietnam",3,0.000
"mobile","Singapore",3,0.000
"mobile","Taiwan",3,0.000
"desktop","Bangladesh",2,0.000
"desktop","Ecuador",2,0.000
"desktop","Pakistan",2,0.000
"mobile","Brazil",2,0.500
"mobile","Panama",2,0.000
"mobile","Philippines",2,0.000
"mobile","Türkiye",2,0.000
"desktop","Cambodia",1,0.000
"desktop","Fiji",1,0.000
"desktop","Ireland",1,0.000
"desktop","Kenya",1,0.000
"desktop","Mexico",1,0.000
