date,clicks,impressions,ctr,position
2026-04-23,42,2018,2.08,6.8
2026-04-24,74,2317,3.19,6.8
2026-04-25,48,2051,2.34,6.7
2026-04-26,71,2143,3.31,7.0
2026-04-27,61,2184,2.79,6.5
2026-04-28,66,2305,2.86,7.1
2026-04-29,66,2056,3.21,7.0
2026-04-30,46,1880,2.45,7.9
2026-05-01,47,2033,2.31,8.3
2026-05-02,45,2025,2.22,7.6
2026-05-03,77,2561,3.01,6.9
2026-05-04,59,2420,2.44,6.9
2026-05-05,88,2803,3.14,6.7
2026-05-06,86,2821,3.05,6.8
2026-05-07,83,2699,3.08,6.9
2026-05-08,62,2724,2.28,6.9
2026-05-09,57,2633,2.16,7.2
2026-05-10,79,3248,2.43,7.2
2026-05-11,91,3238,2.81,7.2
2026-05-12,99,3424,2.89,7.1
2026-05-13,97,3423,2.83,6.9
2026-05-14,84,3248,2.59,7.2
2026-05-15,89,2960,3.01,7.0
2026-05-16,80,2879,2.78,6.9
2026-05-17,111,3373,3.29,7.0
2026-05-18,110,3442,3.20,6.7
