slugA,slugB,bodyJaccard,titleSim,indexableA,indexableB,clicksA,clicksB,imprA,imprB,tierA,tierB,recommendedCanonical
practice-room-samsong1,practice-room-wonheung1,0.6272,0.667,true,true,2,0,9,0,KEEP,NOINDEX_CANDIDATE,practice-room-samsong1
practice-room-jeungsan1,practice-room-saejeol1,0.6007,0.818,true,true,0,1,6,5,WATCH_LOW,KEEP,practice-room-jeungsan1
practice-room-dokbawi1,practice-room-eungam1,0.5631,0.667,true,true,0,1,11,8,WATCH,KEEP,practice-room-dokbawi1
practice-room-mangwon1,practice-room-worldcup1,0.5551,0.833,true,false,,,,,,,practice-room-mangwon1
practice-room-jichuk1,practice-room-wondang1,0.5474,0.667,true,true,2,0,15,11,KEEP,WATCH,practice-room-jichuk1
practice-room-jichuk1,practice-room-samsong1,0.5365,0.667,true,true,2,2,15,9,KEEP,KEEP,practice-room-jichuk1
practice-room-jichuk1,practice-room-wonheung1,0.5335,0.667,true,true,2,0,15,0,KEEP,NOINDEX_CANDIDATE,practice-room-jichuk1
practice-room-samsong1,practice-room-wondang1,0.5323,0.667,true,true,2,0,9,11,KEEP,WATCH,practice-room-wondang1
practice-room-wondang1,practice-room-wonheung1,0.5244,0.667,true,true,0,0,11,0,WATCH,NOINDEX_CANDIDATE,practice-room-wondang1
practice-room-hapjeong1,practice-room-mangwon1,0.5171,0.769,true,true,,,,,,,practice-room-hapjeong1
practice-room-jeungsan1,practice-room-jichuk1,0.5091,0.538,true,true,0,2,6,15,WATCH_LOW,KEEP,practice-room-jichuk1
practice-room-dokbawi1,practice-room-jeungsan1,0.5024,0.667,true,true,0,0,11,6,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-gupabal1,practice-room-wonheung1,0.4974,0.667,true,true,1,0,6,0,KEEP,NOINDEX_CANDIDATE,practice-room-gupabal1
practice-room-dokbawi1,practice-room-saejeol1,0.4963,0.667,true,true,0,1,11,5,WATCH,KEEP,practice-room-dokbawi1
practice-room-gupabal1,practice-room-samsong1,0.4959,0.667,true,true,1,2,6,9,KEEP,KEEP,practice-room-samsong1
practice-room-hwajong1,practice-room-worldcup1,0.4939,0.692,false,false,,,,,,,practice-room-worldcup1
practice-room-hapjeong1,practice-room-worldcup1,0.4913,0.769,true,false,,,,,,,practice-room-hapjeong1
practice-room-eungam1,practice-room-jeungsan1,0.4894,0.667,true,true,1,0,8,6,KEEP,WATCH_LOW,practice-room-eungam1
practice-room-daehwa1,practice-room-hwajong1,0.4872,0.769,false,false,,,,,,,practice-room-daehwa1
practice-room-jichuk1,practice-room-saejeol1,0.4872,0.538,true,true,2,1,15,5,KEEP,KEEP,practice-room-jichuk1
practice-room-hapjeong1,practice-room-hwajong1,0.4867,0.643,true,false,,,,,,,practice-room-hapjeong1
practice-room-gupabal1,practice-room-jichuk1,0.4849,0.667,true,true,1,2,6,15,KEEP,KEEP,practice-room-jichuk1
practice-room-dokbawi1,practice-room-yeokchon1,0.4816,0.667,true,true,0,0,11,4,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-hwajong1,practice-room-mangwon1,0.4791,0.692,false,true,,,,,,,practice-room-mangwon1
practice-room-eungam1,practice-room-saejeol1,0.4786,0.667,true,true,1,1,8,5,KEEP,KEEP,practice-room-eungam1
practice-room-eungam1,practice-room-yeokchon1,0.4778,0.667,true,true,1,0,8,4,KEEP,WATCH_LOW,practice-room-eungam1
practice-room-dokbawi1,practice-room-jichuk1,0.4751,0.538,true,true,0,2,11,15,WATCH,KEEP,practice-room-jichuk1
practice-room-dokbawi1,practice-room-gusan1,0.4710,0.818,true,true,0,0,11,8,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-jeungsan1,practice-room-wondang1,0.4681,0.538,true,true,0,0,6,11,WATCH_LOW,WATCH,practice-room-wondang1
practice-room-saejeol1,practice-room-wondang1,0.4659,0.538,true,true,1,0,5,11,KEEP,WATCH,practice-room-wondang1
practice-room-dokbawi1,practice-room-gupabal1,0.4651,0.667,true,true,0,1,11,6,WATCH,KEEP,practice-room-dokbawi1
practice-room-saejeol1,practice-room-yeokchon1,0.4589,0.667,true,true,1,0,5,4,KEEP,WATCH_LOW,practice-room-saejeol1
practice-room-jichuk1,practice-room-yeokchon1,0.4568,0.667,true,true,2,0,15,4,KEEP,WATCH_LOW,practice-room-jichuk1
practice-room-jeungsan1,practice-room-yeokchon1,0.4566,0.667,true,true,0,0,6,4,WATCH_LOW,WATCH_LOW,practice-room-jeungsan1
practice-room-jeungsan1,practice-room-samsong1,0.4546,0.538,true,true,0,2,6,9,WATCH_LOW,KEEP,practice-room-samsong1
practice-room-jeungsan1,practice-room-wonheung1,0.4535,0.538,true,true,0,0,6,0,WATCH_LOW,NOINDEX_CANDIDATE,practice-room-jeungsan1
practice-room-eungam1,practice-room-jichuk1,0.4530,0.538,true,true,1,2,8,15,KEEP,KEEP,practice-room-jichuk1
jeonbuk1,jeonnam1,0.4520,0.250,true,true,0,1,14,5,WATCH,KEEP,jeonbuk1
practice-room-saejeol1,practice-room-samsong1,0.4517,0.538,true,true,1,2,5,9,KEEP,KEEP,practice-room-samsong1
practice-room-gupabal1,practice-room-wondang1,0.4507,0.667,true,true,1,0,6,11,KEEP,WATCH,practice-room-wondang1
