id,title,artist,releaseDate,label,engineer,musicians,gear
tierliner-bite-me,티어라이너 <Bite Me>,티어라이너,2026-02-22,,Studio NOL (황경하),티어라이너 (Vocal),Neumann TLM 103
the-projectors-babu-first-flight,더 프로젝터스 <바보의 첫 비행>,더 프로젝터스,2024-03-15,The Projectors,Studio NOL (황경하),더 프로젝터스 전 멤버,Studer A810 Multitrack | Neumann U87 | Neve 1073 Preamp | Fender Jazz Bass
guitar-choi-dementia-2024,Guitar Choi <Dementia>,Guitar Choi,2025-09-08,,Studio NOL (황경하),Guitar Choi (Guitar),
unknown-feeling,하루살이 프로젝트 2: 알 수 없는 느낌,하루살이 프로젝트,2024-01-20,Harusali Project,Studio NOL (황경하),하루살이 프로젝트 아티스트 전원,Pro Tools HDX | Neumann U87 | Lexicon 480L | Tube-Tech CL1B
dystopia-2025,삼각전파사 <Dystopia 2025>,삼각전파사,2025-02-10,Samgeuk Jeonpasa,Studio NOL (황경하),삼각전파사,Prophet-6 | Moog Sub 37 | Ableton Live | Neumann U87 | Lexicon 224
jai-golden-hour,자이 <Golden Hour>,자이,2023-09-01,,Studio NOL (황경하),자이 (Vocal),Neumann U87 | Classé Preamp | Neve 1073 | Lexicon 480L
heo-jeong-hyuk-wind,허정혁 <바람 한 점>,허정혁,2023-05-18,,Studio NOL (황경하),허정혁 (Vocal),Shure SM7B | Neumann U87 | Neve 1073 | Tube-Tech CL1B
peace-and-music,Various Artists <이름을 모르는 먼 곳의 그대에게>,Various Artists,2023-07-22,Peace and Music,Studio NOL (황경하) — Mastering & Album Direction,Various Artists (다수 아티스트 협업),Pro Tools HDX | Neumann U87 | Lexicon 480L | Weber Mass
lee-seo-young-woo-ri,이서영 <우리>,이서영,2024-11-29,,Studio NOL (황경하),이서영 (Vocal),Neumann U87Ai
jai-hanash-pink-padding,자이(Jai) x HANASH <분홍색 패딩 소녀>,자이 x HANASH,2024-12-03,,Studio NOL (황경하),자이 (Vocal) | HANASH (Rap),Neumann U87Ai
momo-if-this-cant-be-tolerated,"모모 <If this can't be tolerated, what can't be?>",모모,2024-11-26,,Studio NOL (황경하),모모 (Vocal),
yeoyu-seoul-night,여유 <서울의 밤 (feat. 정수민)>,여유,,,Studio NOL (황경하),"여유 (Vocal) | 정수민 (Vocal, Featuring)",
namutipdeul-eyes-front-heart,나뭇잎들 <눈 앞의 마음>,나뭇잎들,,,Studio NOL (황경하),나뭇잎들,
moredo-toyoil-we-will-sail,모레도토요일 <We will sail for your freedom>,모레도토요일,,,Studio NOL (황경하),모레도토요일,
kim-in-star-person,김인 <별을 보러 간 사람>,김인,2025-01-09,,Studio NOL (황경하),김인 (Vocal),Neumann TLM 103
kkar-transition,까르 <TRANSITION>,까르,,,Studio NOL (황경하),까르 (Vocal),Shure SM7B | Neumann U87Ai
namsu-annyeong,남수 <안녕 (먼 곳의 그대에게)>,남수,2024-11-21,,Studio NOL (황경하),남수 (Vocal),
kim-dong-san-mulgyeol,김동산과 블루이웃 <물결>,김동산과 블루이웃,,,Studio NOL (황경하),김동산과 블루이웃,
jung-jin-seok-i-ttang,정진석 <이 땅이 니 땅이가>,정진석,,,Studio NOL (황경하),정진석 (Vocal),
hwang-gyeong-ha-nunnokeut,황경하 <눈녹듯>,황경하,2025-01-15,Studio NOL,황경하 (전 과정 총괄),"황경하 (Vocal, Acoustic Guitar, Piano, Synthesizer)",Neumann U87 | DPA 4006 | Neve 1073 | Prophet-6 | Pro Tools HDX | Dolby Atmos Production Suite
namjae-wi-inmul,남자애 <위 인물은 X를 겪고 깨달음을 얻음>,남자애,2022-11-09,Namjae,Studio NOL (황경하),남자애,Prophet-6 | Moog Sub 37 | Studer A810 | Neumann U87 | Neve 88R
various-artists-fish-die,Various Artists <물고기는 물이 없으면 죽어요>,Various Artists,2024-06-01,Studio NOL / Melon Music,Studio NOL (황경하),어린이 보컬 팀 | 성인 내레이션,Neumann U87 | Sennheiser MKH 416 | Neve 1073 | Lexicon 480L
hee-woo-ijeum,희우 <잊음>,희우,2024-04-02,,Studio NOL (황경하),희우 (Vocal),
hee-woo-geudaeneun,희우 <그대는>,희우,2024-08-05,,Studio NOL (황경하),희우 (Vocal),
jinu-konda-burn-in-hell,Jinu Konda <Burn In Hell>,Jinu Konda,2024-03-26,,Studio NOL (황경하),"Jinu Konda (Vocal, Guitar)",Shure SM7B
namjae-haran,남자애 <하란>,남자애,,,Studio NOL (황경하),남자애,
namjae-haebang,남자애 <해방>,남자애,2023-06-30,,Studio NOL (황경하),남자애,
semin-yeorin-ip,세민 <여린 잎>,세민,,,Studio NOL (황경하),세민 (Vocal),
young-in-red-dot,영인 <빨간 점>,영인,2023-03-13,,Studio NOL (황경하),영인 (Vocal),
ryu-hyeong-su-haru,류형수 <하루>,류형수,2023-06-20,,Studio NOL (황경하),류형수 (Vocal),
eongadeul-self-titled,엉아들 <Self-titled>,엉아들,,,Studio NOL (황경하),엉아들,
kang-ho-jung-self-titled,강호중 <Self-titled>,강호중,2022-03-07,,Studio NOL (황경하),강호중 (Vocal),
balkwaehan-cm-song,<발쾌한> CM송,발쾌한,2024-08-20,Balkwaehan,Studio NOL (황경하),발쾌한,Neumann U87 | Neve 1073 | FabFilter Pro-Q 3 | Waves L1
various-artists-gentrification,Various Artists <젠트리피케이션>,Various Artists,2023-11-15,Korean Music Awards,Studio NOL (황경하) — Mastering & Album Direction,Various Artists (KMA 참여 아티스트 전원),Pro Tools HDX | Neumann U87 | Neve 88R | Lexicon 480L
